method,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
ConvVAE + K-Means,0.42937183380126953,42746.062057686715,0.7486887366599998,0.019324409146946223,0.1426891274253371,0.4839902093011639
ConvVAE + Agglomerative,0.42197030782699585,36537.15106789794,0.7799145994320806,0.019014970111401373,0.14539245318113908,0.4789949547929467
ConvVAE + DBSCAN,0.8448180556297302,158.6465288812623,0.1168270171032518,-4.9975402091476876e-05,0.000428817426898991,0.4494629028228828
HybridVAE (audio+lyrics) + K-Means,0.37691882252693176,28249.930279210028,0.8590192747117934,0.2087285601318856,0.3835844901735356,0.577851041510565
HybridVAE (audio+lyrics) + Agglomerative,0.34451210498809814,24792.796531954336,0.8788831081063757,0.23421556112280414,0.3965049969529676,0.5849942554573155
HybridVAE + DBSCAN,,,,,,
PCA + K-Means (baseline),0.15385086834430695,3648.5091144789285,1.7214228986712274,0.137121130314338,0.34967389445032865,0.5810979569409062
