SS,CHI,DBI,ARI,NMI,Purity,method,model,beta,latent_dim,k,eval_type
0.5322,15791.4177,0.6142,0.0003,0.0005,0.5084,Agglom-Complete,BetaVAE,1.0000,32,2,language
0.3078,12960.6851,1.1030,0.1295,0.1722,0.5018,KMeans,BetaVAE,1.0000,32,10,genre_all
0.2173,5218.4828,1.2005,0.0772,0.1874,0.3536,KMeans,BetaVAE,1.0000,32,18,genre_labeled
0.4877,18984.3441,0.7626,0.0026,0.0028,0.5258,KMeans,BetaVAE,2.0000,32,2,language
0.2287,7120.6090,1.5715,0.0914,0.1277,0.4775,KMeans,BetaVAE,2.0000,32,10,genre_all
0.1452,3133.0280,1.7340,0.0583,0.1493,0.3009,KMeans,BetaVAE,2.0000,32,18,genre_labeled
0.8540,2077.8168,0.2838,0.0000,0.0033,0.5012,Agglom-Complete,CVAE,1.0000,32,2,language
0.4861,4190.0159,0.8192,0.0035,0.1879,0.5142,GMM,CVAE,1.0000,32,10,genre_all
0.5077,2600.6566,0.8905,0.0099,0.1738,0.2458,GMM,CVAE,1.0000,32,18,genre_labeled
0.8910,5176.4678,0.2218,0.0000,0.0059,0.5025,Agglom-Complete,CVAE,2.0000,32,2,language
0.7837,2587.1401,0.6402,0.0090,0.0274,0.4595,GMM,CVAE,2.0000,32,10,genre_all
0.7538,1762.7907,0.4707,0.0001,0.0348,0.1424,GMM,CVAE,2.0000,32,18,genre_labeled
0.4580,3119.0401,0.7037,-0.0000,0.0000,0.5005,Agglom-Complete,BasicVAE,1.0000,32,2,language
0.2267,9539.6149,1.3053,0.1050,0.2251,0.4682,KMeans,BasicVAE,1.0000,32,10,genre_all
0.1936,4828.8609,1.2856,0.0913,0.1928,0.3608,KMeans,BasicVAE,1.0000,32,18,genre_labeled
0.8477,3151.5061,0.2826,-0.0000,0.0000,0.5005,GMM,BasicVAE,2.0000,32,2,language
0.8454,2669.1592,0.2445,0.0002,0.0033,0.4500,GMM,BasicVAE,2.0000,32,10,genre_all
0.8655,2018.7823,0.2240,0.0000,0.0054,0.1258,GMM,BasicVAE,2.0000,32,18,genre_labeled
0.1681,407.4054,4.2330,-0.0628,0.0419,0.4496,GMM,ConvVAE,1.0000,32,10,genre_all
0.0778,256.8012,2.1891,0.0287,0.0594,0.1946,Agglom-Complete,ConvVAE,1.0000,32,18,genre_labeled
0.8459,2672.8894,0.4503,0.0000,0.0032,0.5027,Agglom-Complete,ConvVAE,2.0000,32,2,language
0.6706,2447.9509,1.3630,-0.0274,0.0189,0.4496,Agglom-Complete,ConvVAE,2.0000,32,10,genre_all
0.5554,887.5257,1.1730,0.0047,0.0334,0.1503,Agglom-Complete,ConvVAE,2.0000,32,18,genre_labeled
0.3897,12331.2962,1.1546,0.5802,0.4812,0.8809,KMeans,HybridVAE,1.0000,32,2,language
0.4785,21687.3092,0.7449,0.4637,0.7108,0.8566,KMeans,HybridVAE,1.0000,32,10,genre_all
0.4178,7266.1534,1.0619,0.7052,0.8362,0.8500,GMM,HybridVAE,1.0000,32,18,genre_labeled
0.8947,16914.0434,0.7631,0.0622,0.2138,0.5241,KMeans,HybridVAE,2.0000,32,10,genre_all
0.8791,3614.3248,0.5293,0.0395,0.2033,0.2249,Agglom-Complete,HybridVAE,2.0000,32,18,genre_labeled
0.5164,17249.7009,0.7629,0.0001,0.0001,0.5048,Agglom-Ward,MultiModalVAE,1.0000,32,2,language
0.4256,15121.5799,0.9918,0.1438,0.1907,0.5084,KMeans,MultiModalVAE,1.0000,32,10,genre_all
0.3197,8808.8472,1.0153,0.0649,0.1808,0.3311,KMeans,MultiModalVAE,1.0000,32,18,genre_labeled
0.8371,12514.1920,0.3514,0.0001,0.0019,0.5051,GMM,MultiModalVAE,2.0000,32,2,language
0.8358,5945.3766,0.3911,-0.0056,0.0067,0.4496,GMM,MultiModalVAE,2.0000,32,10,genre_all
0.8652,2156.5200,0.3010,0.0001,0.0071,0.1276,GMM,MultiModalVAE,2.0000,32,18,genre_labeled
